ESTACAO;CODIGO_WMO;MES;PRECIPITACAO_TOTAL_HORARIO_MM;TEMPERATURA_DO_AR___BULBO_SECO_HORARIA_C;TEMPERATURA_DO_PONTO_DE_ORVALHO_C;TEMPERATURA_MAXIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_MINIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MAX_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MIN_NA_HORA_ANT_AUT_C;UMIDADE_REL_MAX_NA_HORA_ANT_AUT_PCT;UMIDADE_REL_MIN_NA_HORA_ANT_AUT_PCT;UMIDADE_RELATIVA_DO_AR_HORARIA_PCT
PINHEIRO MACHADO;B823;12;0,08;20,94;17,06;22,63;20,97;17,33;17,07;77,56;70,72;74,05
PORTO ALEGRE - BELEM NOVO;B825;1;0,01;24,05;19,53;25,43;23,38;19,95;18,82;78,23;71,12;74,71
PORTO ALEGRE - BELEM NOVO;B825;2;0,03;24,9;20,39;25,86;24,47;21,2;19,82;81,53;75,48;78,6
PORTO ALEGRE - BELEM NOVO;B825;3;0,02;24,68;21,35;24,51;23,5;21,2;20,78;85,42;80,25;82,85
PORTO ALEGRE - BELEM NOVO;B825;4;0,04;22,02;17,6;22,8;20,71;18,37;16,73;85,28;79,74;82,53
PORTO ALEGRE - BELEM NOVO;B825;5;0,09;15,55;11,31;16,14;15,46;12,4;11,38;85,31;80,35;82,87
PORTO ALEGRE - BELEM NOVO;B825;6;;;;;;;;;;
PORTO ALEGRE - BELEM NOVO;B825;7;;;;;;;;;;
PORTO ALEGRE - BELEM NOVO;B825;8;;;;;;;;;;
PORTO ALEGRE - BELEM NOVO;B825;9;;;;;;;;;;
PORTO ALEGRE - BELEM NOVO;B825;10;0,03;18,36;14,49;20,32;19,2;15,15;13,81;78,64;72,28;75,52
PORTO ALEGRE - BELEM NOVO;B825;11;0,01;21,16;16,08;21,48;20,75;16,83;15,44;78,2;71,79;75,01
PORTO ALEGRE - BELEM NOVO;B825;12;0,02;24,34;20,22;24,55;24,88;20,41;19,72;81,64;74,96;78,32
PORTO ALEGRE - JARDIM BOTANICO;A801;1;0,01;24,85;19,48;25,64;24,45;19,93;18,6;76,43;70,1;73,25
PORTO ALEGRE - JARDIM BOTANICO;A801;2;0,01;25,7;20,78;26,79;25,34;21,35;20,06;77,79;71,95;74,9
PORTO ALEGRE - JARDIM BOTANICO;A801;3;0,01;24,73;19,93;25,63;24,37;20,42;19,56;78,75;73,06;75,92
PORTO ALEGRE - JARDIM BOTANICO;A801;4;0,03;20,91;17,22;21,53;20,44;17,38;17,1;81,85;76,73;79,31
PORTO ALEGRE - JARDIM BOTANICO;A801;5;0,05;16,47;12,85;17,43;16,3;13,55;12,98;84,02;79,34;81,73
PORTO ALEGRE - JARDIM BOTANICO;A801;6;0,03;14,79;12,1;15,84;14,94;13,15;11,06;83,67;78,71;81,26
PORTO ALEGRE - JARDIM BOTANICO;A801;7;0,03;13,15;9,93;13,91;12,8;10,49;9,89;84,95;80,26;82,64
PORTO ALEGRE - JARDIM BOTANICO;A801;8;0,03;15,99;12,02;15,99;15,16;11,8;11,27;81,67;76,42;79,07
PORTO ALEGRE - JARDIM BOTANICO;A801;9;0,06;18,05;14,13;19,16;17,95;14,96;13,9;81,52;75,71;78,68
PORTO ALEGRE - JARDIM BOTANICO;A801;10;0,02;20,26;16,04;20,4;19,95;15,8;14,82;78,24;72,15;75,16
PORTO ALEGRE - JARDIM BOTANICO;A801;11;0,02;22,97;16,63;22,9;22,27;17,33;16,2;75,08;69,04;72,04
PORTO ALEGRE - JARDIM BOTANICO;A801;12;0,08;23,27;18,67;24,7;23,55;19,12;17,86;77,08;70,95;74,04
PORTO ALEGRE- BELEM NOVO;B807;1;0,06;24,05;20,08;24,49;23,69;19,99;19,32;81,55;75,73;78,71
PORTO ALEGRE- BELEM NOVO;B807;2;0,03;25,25;21,62;26,17;25,31;21,91;21,27;81,86;76,83;79,37
PORTO ALEGRE- BELEM NOVO;B807;3;0,08;24,08;20,23;24,54;22,93;20,55;19,5;82,54;76,95;79,83
PORTO ALEGRE- BELEM NOVO;B807;4;0,05;21,42;18,24;22,34;21,24;18,75;18,27;86,3;81,82;84,13
PORTO ALEGRE- BELEM NOVO;B807;5;0,13;17,22;14,84;17,56;16,53;14,9;13,63;89,0;84,66;86,89
PORTO ALEGRE- BELEM NOVO;B807;6;0,03;17,01;13,68;17,9;17,07;14,23;12,22;86,26;80,84;83,64
PORTO ALEGRE- BELEM NOVO;B807;7;0,03;13,51;11,22;13,28;12,91;11,44;10,42;88,07;83,23;85,77
PORTO ALEGRE- BELEM NOVO;B807;8;0,0;15,01;12,29;15,21;14,16;12,04;10,35;86,65;81,76;84,29
PORTO ALEGRE- BELEM NOVO;B807;9;0,04;18,49;14,67;18,88;17,83;15,57;15,04;87,81;82,53;85,26
PORTO ALEGRE- BELEM NOVO;B807;10;0,02;21,25;15,59;22,11;19,64;16,78;15,59;82,72;76,78;79,82
PORTO ALEGRE- BELEM NOVO;B807;11;0,03;22,43;18,61;23,09;21,88;17,86;17,38;80,04;74,06;77,1
PORTO ALEGRE- BELEM NOVO;B807;12;0,07;21,22;18,29;22,44;21,51;17,97;17,28;79,21;72,97;76,13
PORTO XAVIER;B837;1;;;;;;;;;;
PORTO XAVIER;B837;2;;;;;;;;;;
PORTO XAVIER;B837;3;;;;;;;;;;
PORTO XAVIER;B837;4;0,0;15,85;12,67;19,0;16,6;14,44;13,36;86,69;79,96;83,49
PORTO XAVIER;B837;5;0,0;15,81;13,72;16,05;15,11;13,04;11,64;88,7;83,13;86,02
QUARAI;A831;1;0,0;25,41;17,33;25,69;23,72;17,62;15,98;70,98;63,8;67,38
QUARAI;A831;2;0,0;26,16;18,72;27,42;25,58;19,47;18,36;70,41;63,43;66,97
QUARAI;A831;3;0,02;23,29;18,45;24,37;22,9;18,68;17,56;78,03;71,91;75,02
QUARAI;A831;4;0,07;19,0;15,56;20,14;18,34;16,13;14,22;83,6;77,94;80,77
QUARAI;A831;5;0,04;14,02;10,93;15,33;13,9;12,83;10,63;86,36;81,47;83,97
QUARAI;A831;6;0,01;13,91;10,64;13,52;13,09;11,33;10,28;83,51;78,94;81,27
QUARAI;A831;7;0,01;11,92;7,86;12,47;11,53;8,05;7,54;82,15;76,98;79,62
QUARAI;A831;8;0,04;14,15;9,34;14,48;13,22;9,56;8,29;78,67;73,2;75,97
QUARAI;A831;9;0,03;16,5;12,76;17,18;16,31;13,21;11,79;81,52;76,29;78,93
QUARAI;A831;10;0,03;19,65;13,93;21,09;19,11;14,66;13,89;77,14;70,39;73,77
QUARAI;A831;11;0,03;20,66;15,51;22,26;19,85;16,35;15,42;75,79;69,02;72,42
QUARAI;A831;12;0,02;22,57;15,32;22,43;22,27;15,62;14,64;73,04;65,01;69,03
RELVADO;B860;2;;;;;;;;;;
RELVADO;B860;3;;;;;;;;;;
RELVADO;B860;4;0,0;17,17;16,33;17,1;17,81;15,64;12,69;95,16;85,83;88,57
RELVADO;B860;5;0,03;11,84;10,28;14,16;13,58;11,17;11,03;94,12;86,75;89,59
RIO GRANDE;A802;1;0,01;23,76;19,26;23,87;23,03;19,51;18,29;79,51;73,84;76,69
RIO GRANDE;A802;2;0,03;24,33;20,17;25,13;24,05;20,72;19,82;81,11;75,84;78,55
RIO GRANDE;A802;3;0,05;23,35;19,96;23,77;22,96;20,27;19,35;83,87;78,82;81,45
RIO GRANDE;A802;4;0,05;19,78;16,02;20,14;19,67;17,42;16,04;85,15;80,32;82,77
RIO GRANDE;A802;5;0,04;15,7;13,39;16,0;15,54;13,44;12,98;88,93;84,85;87,01
RIO GRANDE;A802;6;0,05;13,77;11,85;14,28;12,57;12,63;12,39;87,94;83,72;86,03
RIO GRANDE;A802;7;0,01;11,17;9,76;12,17;10,79;9,92;8,81;89,66;85,86;87,89
RIO GRANDE;A802;8;0,05;13,03;11,19;13,32;13,09;11,67;11,2;89,39;85,47;87,49
RIO GRANDE;A802;9;0,07;16,12;13,81;16,62;15,91;14,12;13,55;88,07;83,66;85,95
RIO GRANDE;A802;10;0,03;18,87;15,4;19,11;18,64;15,53;15,02;82,39;77,2;79,85
RIO GRANDE;A802;11;0,03;20,5;15,93;21,39;20,4;16,44;15,32;78,89;73,39;76,19
RIO GRANDE;A802;12;0,01;22,43;17,86;22,81;21,69;18,49;17,37;80,9;75,0;78,02
RIO PARDO;A813;1;0,02;23,64;18,82;24,81;23,47;19,5;18,32;77,13;70,45;73,82
RIO PARDO;A813;2;0,04;25,22;20,4;25,64;25,04;20,61;19,79;79,55;73,67;76,67
RIO PARDO;A813;3;0,03;23,7;19,26;24,33;22,8;19,86;18,97;80,3;75,14;77,77
RIO PARDO;A813;4;0,07;19,84;16,42;20,93;19,71;16,45;16,12;81,8;77,1;79,55
RIO PARDO;A813;5;0,1;16,23;13,22;16,33;16,61;13,29;12,65;84,92;80,78;82,93
RIO PARDO;A813;6;0,11;15,04;11,2;15,25;14,21;11,24;10,58;83,75;79,82;81,83
RIO PARDO;A813;7;0,02;12,72;9,53;13,24;12,6;10,29;9,62;86,09;82,49;84,34
RIO PARDO;A813;8;0,04;14,81;10,98;15,16;14,11;12,12;11,54;82,59;77,84;80,33
RIO PARDO;A813;9;0,1;17,99;13,98;18,64;17,37;14,05;13,53;83,21;78,07;80,7
RIO PARDO;A813;10;0,02;19,61;14,95;20,26;19,53;15,37;14,19;79,64;73,79;76,75
RIO PARDO;A813;11;0,01;22,27;16,03;22,49;21,88;16,57;15,35;73,56;67,55;70,44
RIO PARDO;A813;12;0,04;22,7;16,86;24,42;22,51;18,24;17,5;77,73;71,31;74,56
ROLANTE;B819;1;0,06;23,82;18,59;24,71;23,12;18,93;17,46;77,66;70,09;73,94
ROLANTE;B819;2;0,01;23,56;20,15;25,21;23,36;20,6;19,71;82,62;75,51;79,14
ROLANTE;B819;3;0,01;24,24;20,47;25,44;23,97;21,24;19,93;83,77;77,27;80,56
ROLANTE;B819;4;0,0;20,94;17,34;22,58;20,03;17,32;16,39;82,3;75,56;78,95
ROLANTE;B819;5;0,04;16,0;12,18;15,72;15,04;11,84;10,98;86,02;79,81;83,01
ROLANTE;B819;8;;;;;;;;;;
ROLANTE;B819;9;0,03;17,48;12,35;19,15;17,2;14,22;12,42;79,66;72,08;75,91
ROLANTE;B819;10;0,05;20,97;15,21;21,73;19,69;15,49;14,88;78,9;71,63;75,21
ROLANTE;B819;11;0,01;20,39;15,42;20,34;20,08;16,95;15,18;78,65;71,41;74,97
ROLANTE;B819;12;0,04;23,74;19,92;24,29;24,08;20,05;19,37;79,6;72,18;75,92
Rosario do Sul;B855;3;;;;;;;;;;
Rosario do Sul;B855;4;0,0;18,42;13,48;18,97;16,96;15,04;14,5;82,18;75,37;78,9
Rosario do Sul;B855;5;0,0;12,69;10,44;14,3;14,89;9,21;10,62;84,86;79,34;82,11
SALTO DO JACUI;B838;1;;;;;;;;;;
SALTO DO JACUI;B838;2;0,0;17,75;15,86;22,88;19,0;16,5;15,4;79,0;71,58;75,06
SALTO DO JACUI;B838;3;0,01;23,71;20,23;23,8;23,2;20,59;19,45;85,7;79,74;82,75
SALTO DO JACUI;B838;4;0,03;19,44;16,85;20,19;18,57;16,53;16,55;85,23;79,09;82,23
SALTO DO JACUI;B838;5;0,02;13,02;10,78;16,22;12,8;11,89;10,41;86,2;80,84;83,52
SANTA MARIA;A803;1;0,01;24,59;19,37;24,79;23,95;19,99;19,26;78,31;71,52;74,9
SANTA MARIA;A803;2;0,07;24,9;21,22;25,66;24,87;21,92;20,32;83,85;77,27;80,57
SANTA MARIA;A803;3;0,02;23,41;20,06;24,23;23,27;20,76;19,15;84,5;78,69;81,6
SANTA MARIA;A803;4;0,09;20,18;16,7;20,6;19,23;17,43;16,15;86,83;81,35;84,09
SANTA MARIA;A803;5;0,09;15,75;12,95;15,87;15,48;13,36;12,22;88,41;83,62;86,06
SANTA MARIA;A803;6;0,06;15,3;11,08;15,46;14,46;12,07;10,66;86,37;81,72;84,07
SANTA MARIA;A803;7;0,02;12,65;9,89;13,57;11,73;10,74;9,45;90,32;85,97;88,01
SANTA MARIA;A803;8;0,03;14,71;11,73;14,57;13,27;11,55;11,23;84,62;79,39;81,94
SANTA MARIA;A803;9;0,04;17,36;14,05;17,71;17,11;14,28;13,71;84,16;78,34;81,16
SANTA MARIA;A803;10;0,02;20,46;15,32;20,32;19,42;15,31;14,54;79,12;73,05;75,93
SANTA MARIA;A803;11;0,02;22,11;15,96;22,5;21,23;16,46;14,93;74,81;68,46;71,56
SANTA MARIA;A803;12;0,03;22,28;16,94;22,83;22,31;17,47;15,78;76,68;69,77;72,92
SANTA MARIA DO HERVAL;B816;1;0,01;21,2;15,98;22,23;20,88;16,75;15,1;76,55;69,76;73,26
SANTA MARIA DO HERVAL;B816;2;0,01;21,17;17,12;22,65;21,14;18,04;17,01;81,64;75,78;78,77
SANTA MARIA DO HERVAL;B816;3;0,01;22,68;18,62;22,53;21,2;18,62;17,46;83,81;78,51;81,19
SANTA MARIA DO HERVAL;B816;4;0,0;16,1;13,26;16,88;14,94;12,07;12,75;82,77;75,54;79,18
SANTA MARIA DO HERVAL;B816;5;0,01;12,18;9,05;13,68;13,51;9,49;9,18;84,83;79,42;81,99
SANTA MARIA DO HERVAL;B816;8;;;;;;;;;;
SANTA MARIA DO HERVAL;B816;9;;;;;;;;;;
SANTA MARIA DO HERVAL;B816;10;0,02;17,64;11,04;18,42;17,82;10,76;9,91;74,46;69,44;74,16
SANTA MARIA DO HERVAL;B816;11;0,02;19,15;13,34;18,27;17,9;13,94;12,71;78,16;71,75;75,06
SANTA MARIA DO HERVAL;B816;12;0,01;21,54;17,09;22,54;21,79;17,44;16,09;77,94;71,58;74,84
SANTA ROSA;A810;1;0,02;25,5;16,91;26,95;25,07;17,44;17,6;65,71;59,05;62,45
SANTA ROSA;A810;2;0,11;28,0;20,24;27,7;25,62;20,93;19,22;68,0;61,0;64,52
SANTA ROSA;A810;3;0,02;23,76;17,78;24,63;21,58;19,06;17,41;78,21;72,04;75,07
SANTA ROSA;A810;4;0,14;22,61;18,99;23,14;22,73;19,22;17,99;82,21;77,48;79,82
SANTA ROSA;A810;5;0,1;18,09;13,93;17,63;16,33;14,91;13,35;84,87;81,09;83,03
SANTA ROSA;A810;6;0,08;17,92;13,36;18,08;17,71;14,25;12,79;78,76;73,97;76,34
SANTA ROSA;A810;7;0,01;14,35;10,46;15,25;13,05;10,12;9,59;81,88;77,4;79,66
SANTA ROSA;A810;8;0,0;17,16;10,59;18,26;15,74;11,18;9,76;74,76;68,78;71,74
SANTA ROSA;A810;9;0,0;20,38;14,61;20,29;20,13;15,41;13,68;73,67;67,91;70,79
SANTA ROSA;A810;10;0,05;21,39;15,6;22,81;22,07;16,71;15,36;73,61;67,7;70,66
SANTA ROSA;A810;11;0,03;24,24;16,23;24,75;23,48;17,23;17,2;69,18;63,27;66,22
SANTA ROSA;A810;12;0,07;23,75;15,55;24,25;23,49;17,53;15,6;70,12;63,9;67,0
SANTA VITORIA DO PALMAR (CENTRO);B830;1;0,0;21,81;17,3;22,94;22,7;17,32;16,22;75,79;70,73;73,33
SANTA VITORIA DO PALMAR (CENTRO);B830;2;0,02;22,16;17,85;23,56;22,97;18,63;17,65;77,89;72,71;75,36
SANTA VITORIA DO PALMAR (CENTRO);B830;3;0,02;21,34;18,95;22,24;21,6;18,85;18,29;85,88;81,17;83,58
SANTA VITORIA DO PALMAR (CENTRO);B830;4;0,03;19,65;15,94;18,98;18,54;17,05;15,84;85,93;81,45;83,71
SANTA VITORIA DO PALMAR (CENTRO);B830;5;0,01;13,39;10,16;12,88;12,76;10,06;10,06;84,66;80,44;82,62
SANTA VITORIA DO PALMAR (CENTRO);B830;9;0,0;15,26;12,32;16,6;14,92;10,92;11,1;81,07;75,57;78,39
SANTA VITORIA DO PALMAR (CENTRO);B830;10;0,02;17,84;12,27;18,73;17,47;13,35;12,27;78,75;72,9;75,85
SANTA VITORIA DO PALMAR (CENTRO);B830;11;0,0;19,11;12,76;19,89;19,49;13,51;12,39;71,48;65,03;68,28
SANTA VITORIA DO PALMAR (CENTRO);B830;12;0,01;24,05;19,04;23,82;23,94;19,29;18,12;76,58;70,88;73,76
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;1;0,01;23,87;18,75;23,54;23,06;19,35;18,31;80,73;73,46;77,08
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;2;0,0;23,37;19,31;23,42;23,73;20,62;18,89;80,83;74,25;77,45
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;3;0,03;23,24;19,9;22,83;22,7;20,06;18,86;86,67;81,69;84,18
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;4;0,02;20,85;16,93;21,13;19,71;17,04;16,75;86,44;81,21;83,84
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;5;0,01;13,57;10,73;14,59;13,56;10,76;11,1;88,19;83,93;86,13
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;9;;;;;;;;;;
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;10;0,0;18,74;13,07;18,45;17,4;13,51;13,28;81,38;73,43;77,37
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;11;0,01;20,2;14,36;20,04;19,21;15,31;13,19;78,24;69,91;74,05
SANTA VITORIA DO PALMAR (RESERVA DO TAIM);B829;12;0,0;23,55;19,32;23,77;23,19;20,44;19,25;83,92;76,9;80,47
SANTA VITORIA DO PALMAR - BARRA DO CHUI;A899;1;0,0;22,82;17,26;23,75;23,02;18,48;16,81;76,66;70,56;73,65
SANTA VITORIA DO PALMAR - BARRA DO CHUI;A899;2;0,06;24,01;18,76;23,67;23,28;18,81;17,93;78,49;72,78;75,64
SANTA VITORIA DO PALMAR - BARRA DO CHUI;A899;3;0,06;22,87;19,18;23,11;22,37;19,46;18,42;84,79;80,25;82,6
SANTA VITORIA DO PALMAR - BARRA DO CHUI;A899;4;0,01;19,27;16,47;21,15;18,47;16,64;15,39;85,18;80,6;82,91
SANTA VITORIA DO PALMAR - BARRA DO CHUI;A899;5;0,02;13,79;10,98;13,48;13,17;11,08;8,79;84,98;80,51;82,83
SANTANA DA BOA VISTA;B821;1;0,01;22,76;17,58;22,92;23,38;18,0;16,59;79,41;73,0;76,26
SANTANA DA BOA VISTA;B821;2;0,0;23,12;18,72;23,29;23,09;19,23;17,99;81,49;74,75;78,22
SANTANA DA BOA VISTA;B821;3;0,0;20,72;19,44;22,4;21,61;19,75;18,79;88,32;83,56;85,99
SANTANA DA BOA VISTA;B821;4;0,02;18,49;15,0;19,48;18,3;16,05;15,09;86,56;81,57;84,14
SANTANA DA BOA VISTA;B821;5;0,0;13,23;9,45;13,13;12,29;10,86;9,89;86,48;81,6;84,45
SANTANA DA BOA VISTA;B821;9;;;;;;;;;;
SANTANA DA BOA VISTA;B821;10;0,02;16,67;11,91;16,48;16,09;13,44;11,97;77,05;71,48;74,26
SANTANA DA BOA VISTA;B821;11;0,01;19,34;13,08;20,41;19,03;13,89;12,48;73,17;66,58;69,87
SANTANA DA BOA VISTA;B821;12;0,05;22,94;18,19;22,55;23,05;19,06;17,26;79,4;73,21;76,37
SANTANA DO LIVRAMENTO;A804;1;0,03;23,21;17,54;24,01;21,44;18,18;16,87;76,43;70,01;73,17
SANTANA DO LIVRAMENTO;A804;2;0,03;24,36;19,47;24,66;24,0;19,92;18,51;78,42;72,36;75,39
SANTANA DO LIVRAMENTO;A804;3;0,06;22,88;17,64;23,42;21,7;17,99;16,62;80,62;74,63;77,62
SANTANA DO LIVRAMENTO;A804;4;0,03;18,23;13,46;18,64;17,32;14,3;13,5;80,57;75,04;77,78
SANTANA DO LIVRAMENTO;A804;5;0,01;13,04;9,94;13,51;12,39;9,38;8,72;84,6;78,62;81,54
SANTANA DO LIVRAMENTO;A804;6;0,0;12,43;8,95;14,37;12,4;12,16;8,7;75,98;68,16;71,8
SANTANA DO LIVRAMENTO;A804;7;0,01;10,26;5,89;12,37;9,45;6,6;5,01;76,59;69,44;72,93
SANTANA DO LIVRAMENTO;A804;8;0,0;13,38;5,61;12,73;11,72;5,99;5,46;69,24;63,02;66,17
SANTANA DO LIVRAMENTO;A804;9;0,09;15,91;9,98;16,03;15,09;10,0;8,63;68,43;59,85;64,11
SANTANA DO LIVRAMENTO;A804;10;0,09;18,74;13,0;18,56;17,22;13,72;11,38;75,52;69,26;72,47
SANTANA DO LIVRAMENTO;A804;11;0,05;20,31;15,76;21,67;19,89;15,93;14,8;74,55;69,17;71,83
SANTANA DO LIVRAMENTO;A804;12;0,0;21,0;14,72;20,81;19,47;15,69;13,9;72,97;66,53;69,74
SANTIAGO;A833;1;0,01;23,82;17,47;25,25;23,09;18,08;16,58;72,87;66,01;69,52
SANTIAGO;A833;2;0,08;26,07;19,18;26,77;24,96;20,83;18,69;75,24;68,43;71,94
SANTIAGO;A833;3;0,03;23,4;18,8;24,42;22,85;18,75;17,96;79,05;73,45;76,33
SANTIAGO;A833;4;0,04;19,31;15,33;20,07;19,03;15,52;15,19;81,94;77,25;79,65
SANTIAGO;A833;5;0,04;15,17;11,82;15,04;14,65;12,31;10,62;84,76;80,31;82,61
SANTIAGO;A833;6;0,1;13,45;10,91;14,07;13,72;11,67;10,41;82,33;78,36;80,42
SANTIAGO;A833;7;0,01;12,83;8,58;14,27;12,49;9,6;8,4;80,73;76,08;78,47
SANTIAGO;A833;8;0,05;14,61;9,87;15,34;14,13;10,74;9,25;78,89;73,75;76,35
SANTIAGO;A833;9;0,05;18,29;13,21;17,88;17,88;13,92;12,59;79,32;74,2;76,78
SANTIAGO;A833;10;0,02;19,55;13,99;20,76;19,15;14,83;13,09;77,14;71,29;74,21
SANTIAGO;A833;11;0,05;21,86;14,97;22,4;21,6;15,91;14,01;73,09;66,88;70,05
SANTIAGO;A833;12;0,04;22,2;15,31;23,32;21,4;16,45;15,17;72,07;64,88;68,51
SANTO ANGELO;B844;2;0,0;24,78;16,43;22,38;22,5;16,5;15,71;72,07;65,64;68,86
SANTO ANGELO;B844;3;0,02;26,63;20,58;25,21;24,79;21,45;20,45;80,33;73,09;76,71
SANTO ANGELO;B844;4;0,03;22,43;17,74;22,05;20,84;18,17;16,0;82,06;75,26;78,66
SANTO ANGELO;B844;5;0,01;15,63;11,77;13,9;12,06;11,42;11,15;83,05;77,32;80,19
SANTO ANTONIO DA PATRULHA;B839;1;0,02;23,95;18,53;25,4;23,32;19,88;18,84;77,24;70,43;73,84
SANTO ANTONIO DA PATRULHA;B839;2;0,0;24,71;20,4;24,82;24,31;20,32;20,18;81,21;75,09;78,18
SANTO ANTONIO DA PATRULHA;B839;3;0,01;24,5;21,15;24,4;23,97;21,46;20,54;83,88;78,79;81,4
SANTO ANTONIO DA PATRULHA;B839;4;0,01;21,1;17,0;21,79;21,68;17,54;17,31;81,46;75,67;78,63
SANTO ANTONIO DA PATRULHA;B839;5;0,01;16,34;12,08;16,49;15,72;13,64;11,97;82,62;77,35;80,07
SANTO ANTONIO DA PATRULHA;B839;10;0,04;19,44;13,62;19,89;19,18;14,54;12,49;75,07;68,81;71,96
SANTO ANTONIO DA PATRULHA;B839;11;0,02;20,5;15,96;21,96;20,99;16,34;15,4;77,26;71,22;74,17
SANTO ANTONIO DA PATRULHA;B839;12;0,04;25,22;19,89;25,09;24,47;19,94;18,83;78,71;72,43;75,57
SANTO AUGUSTO;A805;1;0,02;24,22;19,42;24,97;23,83;19,71;18,5;77,66;71,84;74,75
SANTO AUGUSTO;A805;2;0,03;24,92;21,69;25,91;25,13;22,42;21,41;82,96;78,18;80,52
SANTO AUGUSTO;A805;3;0,04;24,15;19,48;24,91;23,77;19,98;19,48;79,99;74,89;77,49
SANTO AUGUSTO;A805;4;0,04;20,91;17,24;21,49;20,49;18,27;17,53;82,88;78,68;80,77
SANTO AUGUSTO;A805;5;0,08;15,34;13,51;16,2;15,15;14,11;14,3;85,55;81,22;83,08
SANTO AUGUSTO;A805;6;0,1;16,3;12,79;16,09;15,4;13,38;13,43;85,3;82,76;84,04
SANTO AUGUSTO;A805;7;0,03;13,76;10,97;14,68;13,52;10,96;11,22;83,38;79,44;81,43
SANTO AUGUSTO;A805;8;0,02;15,84;12,1;16,44;14,91;12,37;11,24;80,1;76,12;78,04
SANTO AUGUSTO;A805;9;0,04;19,05;15,44;19,42;18,64;15,89;15,07;80,05;75,96;77,94
