ESTACAO;CODIGO_WMO;MES;PRECIPITACAO_TOTAL_HORARIO_MM;TEMPERATURA_DO_AR___BULBO_SECO_HORARIA_C;TEMPERATURA_DO_PONTO_DE_ORVALHO_C;TEMPERATURA_MAXIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_MINIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MAX_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MIN_NA_HORA_ANT_AUT_C;UMIDADE_REL_MAX_NA_HORA_ANT_AUT_PCT;UMIDADE_REL_MIN_NA_HORA_ANT_AUT_PCT;UMIDADE_RELATIVA_DO_AR_HORARIA_PCT
SANTO AUGUSTO;A805;10;0,04;20,05;16,56;20,84;19,49;17,03;15,84;80,18;76,2;78,12
SANTO AUGUSTO;A805;11;0,04;21,72;17,38;23,07;21,35;17,62;17,61;76,9;72,44;74,58
SANTO AUGUSTO;A805;12;0,06;23,29;18,55;24,13;23,01;18,36;18,11;75,83;70,3;72,98
SAO BORJA;A830;1;0,03;26,07;18,16;26,45;25,06;19,05;17,94;69,44;63,5;66,49
SAO BORJA;A830;2;0,02;27,81;21,19;28,53;26,68;21,79;20,5;71,99;66,25;69,16
SAO BORJA;A830;3;0,01;25,54;19,77;26,46;24,63;20,28;19,06;75,04;69,44;72,29
SAO BORJA;A830;4;0,02;21,26;17,18;21,48;20,58;17,6;17,04;81,29;76,36;78,85
SAO BORJA;A830;5;0,06;16,32;13,24;17,37;16,04;13,3;13,43;83,95;79,59;81,79
SAO BORJA;A830;6;0,06;15,99;12,72;17,32;15,23;13,44;11,78;83,61;79,7;81,67
SAO BORJA;A830;7;0,02;14,72;10,18;15,39;13,42;10,76;9,12;81,01;76,49;78,78
SAO BORJA;A830;8;0,03;16,39;12,41;17,13;16,29;12,01;11,42;79,63;74,9;77,34
SAO BORJA;A830;9;0,07;19,24;14,21;20,28;18,7;15,16;14,52;78,36;73,5;75,97
SAO BORJA;A830;10;0,04;21,89;15,84;21,19;20,31;15,86;14,81;74,94;69,66;72,35
SAO BORJA;A830;11;0,02;23,97;16,79;24,49;22,6;17,53;16,61;71,15;65,39;68,26
SAO BORJA;A830;12;0,02;24,21;16,25;25,11;22,63;17,14;15,81;69,65;63,36;66,5
SAO FRANCISCO DE PAULA;B820;1;0,02;17,64;15,06;19,28;18,19;16,31;14,87;86,66;79,57;83,2
SAO FRANCISCO DE PAULA;B820;2;0,04;19,01;16,8;20,39;19,07;17,56;15,93;90,58;84,78;87,85
SAO FRANCISCO DE PAULA;B820;3;0,05;20,25;17,72;19,27;18,96;18,01;17,37;91,65;86,62;89,28
SAO FRANCISCO DE PAULA;B820;4;0,0;17,26;14,35;16,53;15,9;14,42;13,34;89,27;83,71;86,59
SAO FRANCISCO DE PAULA;B820;5;0,02;10,94;8,14;12,51;10,82;9,67;8,44;89,93;85,26;87,7
SAO FRANCISCO DE PAULA;B820;8;;;;;;;;;;
SAO FRANCISCO DE PAULA;B820;9;0,06;13,8;10,54;14,75;13,91;11,8;10,37;86,85;80,29;83,74
SAO FRANCISCO DE PAULA;B820;10;0,02;14,82;11,8;14,7;13,98;11,93;11,23;87,52;82,49;85,11
SAO FRANCISCO DE PAULA;B820;11;0,03;16,55;12,92;16,26;15,97;13,46;12,03;87,41;81,29;84,41
SAO FRANCISCO DE PAULA;B820;12;0,03;18,68;16,49;20,08;18,66;16,52;15,8;86,68;80,26;83,58
SAO GABRIEL;A832;1;0,01;25,08;18,73;25,25;24,45;19,61;18,42;74,33;68,56;71,49
SAO GABRIEL;A832;2;0,01;27,0;21,25;27,59;26,68;21,59;20,73;77,62;72,08;74,87
SAO GABRIEL;A832;3;0,04;23,87;19,65;24,69;23,38;20,04;19,15;79,68;74,39;77,08
SAO GABRIEL;A832;4;0,07;18,65;15,93;19,66;18,52;15,96;15,44;83,3;78,51;80,92
SAO GABRIEL;A832;5;0,06;15,12;13,02;16,18;14,91;13,01;12,0;87,29;83,0;85,22
SAO GABRIEL;A832;6;0,04;13,65;11,77;14,19;13,19;11,18;11,31;89,13;85,69;87,47
SAO GABRIEL;A832;7;0,02;12,32;10,11;12,61;11,68;10,5;9,4;89,7;86,14;87,97
SAO GABRIEL;A832;8;0,05;15,03;11,45;14,87;14,87;11,86;10,98;86,19;82,08;84,15
SAO GABRIEL;A832;9;0,05;17,72;15,13;18,2;17,38;15,28;14,01;86,35;82,18;84,28
SAO GABRIEL;A832;10;0,04;19,76;15,61;19,8;19,06;16,21;15,16;81,47;76,46;78,96
SAO GABRIEL;A832;11;0,04;22,12;16,85;22,95;21,31;17,19;15,51;74,97;69,3;72,17
SAO GABRIEL;A832;12;0,02;22,99;17,11;23,51;22,05;17,58;16,24;74,27;68,29;71,35
SAO JOSE DO OURO;B861;2;;;;;;;;;;
SAO JOSE DO OURO;B861;3;;;;;;;;;;
SAO JOSE DO OURO;B861;4;0,01;16,8;11,57;17,5;17,65;13,57;12,0;87,03;77,07;80,72
SAO JOSE DO OURO;B861;5;0,02;12,75;8,08;13,26;12,29;9,57;8,44;90,33;83,64;86,38
SAO JOSE DOS AUSENTES;A829;1;0,03;17,09;;17,7;16,14;;;;;
SAO JOSE DOS AUSENTES;A829;2;0,02;18,69;;19,11;18,04;;;;;
SAO JOSE DOS AUSENTES;A829;3;0,01;17,5;;18,43;17,43;;;;;
SAO JOSE DOS AUSENTES;A829;4;0,04;16,71;8,62;16,96;15,55;;6,67;87,85;78,26;83,56
SAO JOSE DOS AUSENTES;A829;5;0,01;11,66;6,07;11,59;10,36;7,57;5,46;89,12;84,4;86,89
SAO JOSE DOS AUSENTES;A829;6;0,1;10,86;3,0;11,47;9,8;3,5;3,0;78,44;72,32;75,76
SAO JOSE DOS AUSENTES;A829;7;0,01;10,18;;10,22;8,66;;;;;
SAO JOSE DOS AUSENTES;A829;8;0,04;11,47;;12,66;10,49;;;;;
SAO JOSE DOS AUSENTES;A829;9;0,03;12,19;;12,77;11,93;;;;;
SAO JOSE DOS AUSENTES;A829;10;0,04;12,1;;13,35;11,77;;;;;
SAO JOSE DOS AUSENTES;A829;11;0,04;14,29;;14,69;13,27;;;;;
SAO JOSE DOS AUSENTES;A829;12;0,03;15,62;;14,96;15,02;;;;;
SAO LOURENCO DO SUL;B831;1;;;;;;;;;;
SAO LOURENCO DO SUL;B831;2;;;;;;;;;;
SAO LOURENCO DO SUL;B831;3;0,02;24,09;20,82;24,85;23,36;21,07;20,79;90,27;85,74;88,15
SAO LOURENCO DO SUL;B831;4;0,01;20,28;16,71;21,34;19,03;18,36;16,13;85,68;80,42;83,08
SAO LOURENCO DO SUL;B831;5;0,02;14,97;10,33;14,79;13,79;12,16;11,23;85,0;79,67;82,45
SAO LUIZ GONZAGA;A852;1;0,04;25,72;18,84;26,52;25,27;19,13;18,24;71,18;64,94;68,12
SAO LUIZ GONZAGA;A852;2;0,03;25,8;21,1;26,46;25,26;21,39;20,48;75,73;69,35;72,66
SAO LUIZ GONZAGA;A852;3;0,03;25,12;19,27;25,26;24,35;19,59;19,14;76,86;71,28;74,3
SAO LUIZ GONZAGA;A852;4;0,03;21,27;16,8;21,93;20,9;17,19;16,36;79,78;74,96;77,37
SAO LUIZ GONZAGA;A852;5;0,06;17,92;14,34;18,38;17,71;14,06;13,92;82,69;78,58;80,65
SAO LUIZ GONZAGA;A852;6;0,05;15,16;12,2;15,97;14,61;11,94;12,01;82,83;78,97;80,94
SAO LUIZ GONZAGA;A852;7;0,02;14,74;10,52;14,72;13,82;10,52;9,99;79,1;74,32;76,73
SAO LUIZ GONZAGA;A852;8;0,02;15,39;11,59;17,02;15,44;11,71;10,57;77,28;71,92;74,68
SAO LUIZ GONZAGA;A852;9;0,04;19,17;14,17;19,6;19,91;14,65;13,98;77,44;72,39;75,01
SAO LUIZ GONZAGA;A852;10;0,05;22,63;15,78;22,85;21,39;16,07;15,57;75,0;69,6;72,38
SAO LUIZ GONZAGA;A852;11;0,03;24,86;16,55;25,23;23,26;17,19;16,5;68,18;62,79;65,64
SAO LUIZ GONZAGA;A852;12;0,03;26,02;18,25;25,95;24,64;18,49;17,29;69,95;63,99;66,9
SAO VICENTE DO SUL;A889;1;0,03;24,77;18,25;25,07;24,49;18,93;17,23;71,62;64,62;68,38
SAO VICENTE DO SUL;A889;2;0,04;27,21;19,55;27,37;25,65;20,46;19,07;73,11;65,16;69,53
SAO VICENTE DO SUL;A889;3;0,04;23,85;18,09;23,93;23,1;18,84;17,76;76,56;69,48;73,28
SAO VICENTE DO SUL;A889;4;0,04;18,87;14,54;19,27;17,65;14,27;13,96;76,72;69,52;73,05
SAO VICENTE DO SUL;A889;5;0,08;16,64;12,31;16,71;16,31;13,63;11,44;80,73;74,37;77,82
SAO VICENTE DO SUL;A889;6;0,07;14,43;10,56;15,52;14,16;11,05;10,83;79,86;73,75;77,22
SAO VICENTE DO SUL;A889;7;0,0;12,75;8,9;13,14;12,56;10,24;7,97;82,75;76,84;80,19
SAO VICENTE DO SUL;A889;8;0,05;14,47;10,17;14,27;13,91;11,09;10,03;80,23;74,07;77,46
SAO VICENTE DO SUL;A889;9;0,07;18,57;15,37;18,5;18,11;15,85;14,73;81,18;75,24;78,57
SAO VICENTE DO SUL;A889;10;0,05;19,85;15,98;20,14;19,27;16,71;14,84;76,46;69,76;73,32
SAO VICENTE DO SUL;A889;11;0,02;22,77;16,78;23,86;21,56;17,52;16,54;73,21;66,74;69,96
SAO VICENTE DO SUL;A889;12;0,0;22,79;15,86;23,75;22,82;15,93;15,46;70,72;63,93;67,51
SAPUCAIA DO SUL;B809;1;0,01;25,15;19,27;26,0;25,64;20,26;19,3;73,19;66,57;69,88
SAPUCAIA DO SUL;B809;2;0,02;25,36;20,21;25,57;25,24;20,6;20,42;77,87;71,71;74,85
SAPUCAIA DO SUL;B809;3;0,01;25,99;21,1;25,56;24,58;20,97;20,64;80,99;75,96;78,41
SAPUCAIA DO SUL;B809;4;0,01;21,55;17,77;22,05;21,51;17,96;17,1;80,32;74,63;77,44
SAPUCAIA DO SUL;B809;5;0,0;15,85;12,19;16,98;16,51;12,66;12,4;81,74;76,73;79,16
SAPUCAIA DO SUL;B809;6;;;;;;;;;;
SAPUCAIA DO SUL;B809;7;;;;;;;;;;
SAPUCAIA DO SUL;B809;8;;;;;;;;;;
SAPUCAIA DO SUL;B809;9;0,03;17,61;12,6;18,9;18,3;13,57;13,55;78,83;72,09;75,46
SAPUCAIA DO SUL;B809;10;0,03;20,11;14,69;21,06;19,76;15,51;14,48;76,02;69,57;72,82
SAPUCAIA DO SUL;B809;11;0,01;22,24;16,05;22,29;21,29;16,44;14,99;73,46;67,09;70,21
SAPUCAIA DO SUL;B809;12;0,02;24,91;20,09;26,42;24,17;20,19;19,65;76,67;70,74;73,71
SERAFINA CORREA;A894;1;0,08;22,68;17,6;23,12;21,94;18,34;17,0;80,53;73,56;77,11
SERAFINA CORREA;A894;2;0,04;23,66;19,31;24,35;23,18;20,17;18,87;82,41;75,63;79,15
SERAFINA CORREA;A894;3;0,05;22,23;17,86;22,96;21,63;18,66;17,4;82,97;76,67;79,97
SERAFINA CORREA;A894;4;0,05;18,56;16,49;19,17;18,05;16,98;15,88;85,1;78,81;82,15
SERAFINA CORREA;A894;5;0,11;15,44;13,5;15,49;14,96;13,23;12,36;88,25;82,95;85,66
SERAFINA CORREA;A894;6;0,14;13,53;11,74;14,17;13,32;12,19;11,07;85,27;79,29;82,45
SERAFINA CORREA;A894;7;0,01;12,27;9,2;13,04;11,85;10,52;8,6;85,32;79,0;82,24
SERAFINA CORREA;A894;8;0,04;13,3;10,7;13,69;14,0;10,82;10,0;80,17;73,22;76,81
SERAFINA CORREA;A894;9;0,06;16,35;13,22;17,61;16,12;14,29;12,14;78,94;71,56;75,43
SERAFINA CORREA;A894;10;0,05;18,1;13,41;19,2;18,27;14,05;13,08;77,78;70,69;74,48
SERAFINA CORREA;A894;11;0,02;20,88;15,46;22,21;20,16;16,2;14,32;73,83;66,29;70,08
SERAFINA CORREA;A894;12;0,08;20,9;16,42;21,52;20,41;16,87;15,53;81,33;74,78;78,17
SERTAO SANTANA;B811;1;0,01;23,56;19,28;23,59;23,41;20,14;;82,03;75,68;78,91
SERTAO SANTANA;B811;2;0,03;22,94;19,99;24,41;22,45;20,11;;84,89;79,08;82,06
SERTAO SANTANA;B811;3;0,02;22,34;20,37;22,54;21,91;20,68;;88,24;83,26;85,89
SERTAO SANTANA;B811;4;0,02;19,67;16,71;21,05;19,06;17,93;;87,21;81,59;84,55
SERTAO SANTANA;B811;5;0,04;14,64;11,37;15,53;14,12;12,56;;87,14;81,79;84,55
SERTAO SANTANA;B811;8;;;;;;;;;;
SERTAO SANTANA;B811;9;0,02;15,98;11,67;16,8;15,33;14,26;12,47;85,65;79,43;82,63
SERTAO SANTANA;B811;10;0,03;18,39;14,64;18,59;18,0;14,65;14,24;83,49;77,5;80,49
SERTAO SANTANA;B811;11;0,01;20,5;15,77;20,71;19,28;16,34;15,7;79,18;72,57;76,16
SERTAO SANTANA;B811;12;0,08;23,2;19,74;24,79;23,48;19,25;;82,73;77,16;80,0
SOBRADINHO;B840;1;;;;;;;;;;
SOBRADINHO;B840;2;;;;;;;;;;
SOBRADINHO;B840;3;0,01;23,92;19,74;23,79;22,88;20,65;20,11;87,99;81,54;84,8
SOBRADINHO;B840;4;0,04;18,32;15,87;20,83;18,67;17,71;15,42;89,4;82,39;85,94
SOBRADINHO;B840;5;0,02;13,02;10,93;14,37;14,15;10,89;10,02;89,76;84,13;86,89
SOLEDADE;A837;1;0,02;21,73;17,23;23,04;21,54;17,41;16,58;78,87;73,07;76,04
SOLEDADE;A837;2;0,05;23,58;18,72;23,94;22,95;19,39;18,25;80,63;75,0;77,87
SOLEDADE;A837;3;0,01;21,46;16,92;22,17;20,55;17,32;16,81;80,38;74,96;77,75
SOLEDADE;A837;4;0,03;18,17;14,77;19,27;17,53;15,75;14,15;85,16;80,68;83,0
SOLEDADE;A837;5;0,11;15,03;11,91;15,04;14,7;11,99;11,24;86,49;82,43;84,53
SOLEDADE;A837;6;0,15;13,82;10,53;14,38;13,21;10,71;9,72;84,38;80,87;82,64
SOLEDADE;A837;7;0,02;11,94;8,16;11,86;10,99;8,03;7,25;80,81;76,42;78,65
SOLEDADE;A837;8;0,02;13,03;8,79;14,31;12,7;9,72;8,87;78,09;73,03;75,59
SOLEDADE;A837;9;0,07;16,3;12,12;17,24;16,1;12,85;11,74;79,08;73,71;76,42
SOLEDADE;A837;10;0,03;17,81;12,96;18,43;16,81;13,41;12,39;78,63;73,47;76,1
SOLEDADE;A837;11;0,03;20,25;13,77;20,3;19,32;14,72;13,46;74,04;68,47;71,27
SOLEDADE;A837;12;0,04;21,02;15,23;21,73;19,37;15,9;14,23;77,05;71,29;74,17
Santa Vitoria do Palmar - Barra do Chui;A899;1;0,02;23,04;19,17;23,82;22,76;19,32;18,49;81,7;78,07;79,94
Santa Vitoria do Palmar - Barra do Chui;A899;2;0,01;24,2;21,05;24,96;23,73;21,4;20,45;84,57;81,13;82,9
Santa Vitoria do Palmar - Barra do Chui;A899;3;0,03;22,5;19,17;23,33;21,94;19,49;18,44;83,81;80,04;81,97
Santa Vitoria do Palmar - Barra do Chui;A899;4;0,03;19,03;15,81;19,48;18,15;15,75;14,94;84,68;81,04;82,92
Santa Vitoria do Palmar - Barra do Chui;A899;5;0,1;14,83;13,26;16,0;14,56;13,46;13,16;89,15;86,23;87,72
Santa Vitoria do Palmar - Barra do Chui;A899;6;0,03;12,6;10,1;13,64;12,43;11,0;9,13;87,27;84,45;85,88
Santa Vitoria do Palmar - Barra do Chui;A899;7;0,01;10,71;8,79;10,99;10,17;9,03;8,73;90,5;87,64;89,15
Santa Vitoria do Palmar - Barra do Chui;A899;8;0,03;12,42;10,12;13,01;11,35;10,27;9,88;89,09;86,13;87,67
Santa Vitoria do Palmar - Barra do Chui;A899;9;0,01;14,52;12,16;15,4;13,74;12,88;12,06;92,12;89,41;90,82
Santa Vitoria do Palmar - Barra do Chui;A899;10;0,04;16,96;15,37;17,72;16,63;15,68;14,6;87,99;84,58;86,37
Santa Vitoria do Palmar - Barra do Chui;A899;11;0,0;19,31;14,96;20,03;18,8;15,94;14,57;79,91;75,69;77,84
Santa Vitoria do Palmar - Barra do Chui;A899;12;0,01;21,9;17,58;22,66;21,24;17,73;17,26;80,85;75,81;78,43
TAQUARI;B815;1;0,03;26,01;21,96;28,23;25,1;23,46;21,58;83,42;76,56;80,08
TAQUARI;B815;2;0,0;26,86;22,3;28,31;24,92;23,0;21,71;81,99;75,69;78,99
TAQUARI;B815;3;0,03;;;;;;;92,1;88,26;90,12
TAQUARI;B815;4;0,03;;;;;;;87,01;81,75;84,42
TAQUARI;B815;5;0,02;;;;;;;89,08;83,57;86,33
TAVARES - FAROL DE MOSTARDAS;A878;1;;;;;;;;;;
TAVARES - FAROL DE MOSTARDAS;A878;2;;;;;;;;;;
TAVARES - FAROL DE MOSTARDAS;A878;3;;;;;;;;;;
TAVARES - FAROL DE MOSTARDAS;A878;4;;;;;;;;;;
TAVARES - FAROL DE MOSTARDAS;A878;5;;;;;;;;;;
TEUTONIA;A882;1;0,03;24,33;19,07;25,3;23,68;19,84;18,53;77,98;70,82;74,44
TEUTONIA;A882;2;0,05;25,22;20,45;26,2;24,72;21,08;20,06;79,63;73,16;76,47
TEUTONIA;A882;3;0,02;24,01;19,64;24,88;24,05;20,41;19,32;81,28;75,3;78,33
TEUTONIA;A882;4;0,03;20,71;17,6;21,14;20,66;18,28;16,65;84,67;79,15;82,0
TEUTONIA;A882;5;0,11;15,88;12,62;15,59;15,46;13,67;12,14;87,37;82,32;84,89
TEUTONIA;A882;6;0,08;18,27;13,05;19,0;17,44;14,21;13,51;81,64;76,32;79,11
TEUTONIA;A882;7;0,02;12,82;10,0;13,33;10,47;9,67;10,6;81,61;75,25;78,21
TEUTONIA;A882;8;0,01;15,39;11,18;15,49;14,16;10,81;11,77;83,57;77,99;80,88
TEUTONIA;A882;9;0,05;19,4;15,23;20,94;19,32;15,04;14,61;82,15;76,54;79,43
TEUTONIA;A882;10;0,02;19,89;14,7;21,07;19,93;15,61;14,44;75,86;71,71;73,84
TEUTONIA;A882;11;0,03;22,35;16,68;23,0;21,46;17,38;15,56;75,25;69,5;72,42
TEUTONIA;A882;12;0,06;23,39;18,56;23,66;23,16;19,66;18,22;79,52;72,78;76,24
TORRES;B841;10;0,02;19,21;14,63;19,33;17,36;14,13;13,21;82,35;76,62;79,52
TORRES;B841;11;0,05;19,85;16,31;20,95;19,81;16,73;14,92;83,36;77,43;80,48
TORRES;B841;12;0,0;23,49;20,21;24,69;23,32;20,73;19,72;85,88;80,45;83,27
TORRES-AEROPORTO;B841;1;0,06;23,95;20,23;24,99;23,51;21,15;19,87;82,67;76,49;79,69
TORRES-AEROPORTO;B841;2;0,06;25,03;20,58;25,2;24,04;21,22;20,81;84,96;79,37;82,24
TORRES-AEROPORTO;B841;3;0,01;23,39;21,04;24,04;23,14;21,58;20,84;88,86;84,0;86,44
TORRES-AEROPORTO;B841;4;0,01;22,19;18,53;21,49;22,18;18,8;17,88;85,81;80,3;83,18
TORRES-AEROPORTO;B841;5;0,0;15,74;12,97;17,91;16,45;13,37;14,14;83,53;77,98;80,85
TRAMANDAI;A834;1;0,02;24,1;19,17;24,67;23,69;19,99;18,94;78,52;74,25;76,38
TRAMANDAI;A834;2;0,01;24,77;21,12;25,29;24,7;21,69;20,6;80,99;77,01;79,01
TRAMANDAI;A834;3;0,02;23,66;20,08;24,22;23,75;20,62;19,88;82,53;78,73;80,6
TRAMANDAI;A834;4;0,06;21,68;17,51;21,72;21,51;17,89;17,1;76,93;75,47;77,13
TRAMANDAI;A834;5;0,08;17,61;14,25;17,35;17,24;14,85;12,98;83,51;79,93;81,75
TRAMANDAI;A834;6;0,04;16,17;12,93;15,14;15,7;12,1;11,56;79,43;75,38;77,47
TRAMANDAI;A834;7;0,04;13,18;11,12;13,93;13,22;11,22;10,67;85,91;83,28;84,69
TRAMANDAI;A834;8;0,01;15,15;12,24;15,73;14,84;12,34;12,5;85,22;81,59;83,42
TRAMANDAI;A834;9;0,01;17,63;12,54;17,96;17,09;14,39;13,25;84,7;80,11;82,47
TRAMANDAI;A834;10;0,03;19,11;15,06;19,3;18,82;15,65;15,79;84,34;79,99;82,17
TRAMANDAI;A834;11;0,01;20,18;16,21;20,95;20,22;16,94;15,62;83,47;78,78;81,16
TRAMANDAI;A834;12;0,02;23,3;19,67;23,99;22,85;20,92;20,17;86,41;82,42;84,49
TUPANCIRETA;A886;1;0,03;23,42;17,32;24,18;23,18;18,06;17,26;75,86;69,54;72,71
TUPANCIRETA;A886;2;0,02;24,66;19,5;25,79;23,78;19,79;19,07;78,14;72,13;75,16
TUPANCIRETA;A886;3;0,05;22,61;18,68;23,15;22,4;18,95;18,28;80,88;75,58;78,29
TUPANCIRETA;A886;4;0,06;19,22;15,95;19,79;19,05;16,15;15,62;84,11;79,0;81,58
TUPANCIRETA;A886;5;0,06;15,2;12,14;15,92;14,19;12,77;11,82;86,82;82,42;84,66
TUPANCIRETA;A886;6;0,06;14,33;10,9;14,25;13,91;12,25;10,06;87,16;83,14;85,21
TUPANCIRETA;A886;7;0,02;12,41;8,77;13,41;12,47;9,5;8,55;84,57;79,76;82,21
TUPANCIRETA;A886;8;0,04;14,22;10,26;14,52;13,98;10,45;9,6;82,44;77,24;79,9
TUPANCIRETA;A886;9;0,06;17,42;13,22;17,99;17,21;13,57;12,2;81,57;76,53;79,07
TUPANCIRETA;A886;10;0,04;19,6;14,51;19,85;18,88;14,3;13,0;77,4;71,79;74,64
TUPANCIRETA;A886;11;0,02;21,23;15,5;22,32;21,68;15,66;14,34;71,84;66,08;68,9
TUPANCIRETA;A886;12;0,04;22,24;16,39;22,52;21,47;16,91;16,19;75,47;69,79;72,61
URUGUAIANA;A809;1;0,05;26,18;17,57;26,37;24,72;18,7;17,41;67,32;61,48;64,33
URUGUAIANA;A809;2;0,04;26,86;19,57;28,75;26,92;20,54;19,45;69,66;63,06;66,35
URUGUAIANA;A809;3;0,14;26,57;20,47;26,0;26,11;21,56;19,92;75,93;70,63;73,27
URUGUAIANA;A809;4;0,08;20,11;16,01;20,72;19,94;16,12;15,15;80,31;75,37;77,94
URUGUAIANA;A809;5;0,02;15,32;12,54;15,87;14,57;12,12;11,33;84,25;79,64;81,98
URUGUAIANA;A809;6;0,04;16,09;11,7;16,46;15,53;12,56;11,8;82,17;77,87;80,12
URUGUAIANA;A809;7;0,01;13,69;9,24;13,12;13,2;9,86;9,13;78,98;74,12;76,56
URUGUAIANA;A809;8;0,03;13,44;9,31;15,12;13,39;9,88;9,18;76,82;71,88;74,48
URUGUAIANA;A809;9;0,04;19,18;14,09;20,14;18,32;14,63;14,37;80,6;75,94;78,28
URUGUAIANA;A809;10;0,06;20,59;14,97;22,11;20,39;15,53;14,39;73,59;67,84;70,73
URUGUAIANA;A809;11;0,06;23,19;16,83;24,02;22,02;17,59;17,18;76,18;70,98;73,61
URUGUAIANA;A809;12;0,08;23,27;15,29;24,41;22,34;16,33;14,2;68,07;61,22;64,65
VACARIA;A880;1;0,03;19,37;15,77;20,12;18,78;16,11;14,99;84,14;77,84;81,09
VACARIA;A880;2;0,03;21,19;17,5;21,23;20,86;18,34;16,81;84,23;78,17;81,27
VACARIA;A880;3;0,01;19,46;15,75;20,37;18,61;16,19;15,05;83,75;77,92;80,91
VACARIA;A880;4;0,03;16,34;13,74;16,93;15,84;13,9;13,49;87,39;82,51;85,0
VACARIA;A880;5;0,05;13,12;11,2;13,01;12,32;11,85;10,69;89,29;84,71;87,05
VACARIA;A880;6;0,09;11,14;10,02;12,45;10,52;10,18;9,77;89,62;85,79;87,77
VACARIA;A880;7;0,03;10,16;7,01;9,87;9,09;7,96;6,62;85,24;80,54;82,95
VACARIA;A880;8;0,04;12,7;7,9;12,14;10,56;8,51;8,16;81,89;76,75;79,37
VACARIA;A880;9;0,04;14,31;10,6;15,42;13,57;11,26;10,32;82,77;77,19;80,06
VACARIA;A880;10;0,03;14,83;12,24;16,08;14,64;12,3;11,76;84,5;79,34;81,99
VACARIA;A880;11;0,03;17,79;12,35;17,9;16,78;13,55;12,81;80,66;74,71;77,68
VACARIA;A880;12;0,07;19,28;14,24;19,19;17,76;14,98;13,47;81,87;75,76;78,9
VIAMAO;B824;3;;;;;;;;;;
VIAMAO;B824;4;0,0;11,33;10,14;14,75;14,5;9,4;10,33;79,81;71,19;75,44
VIAMAO;B824;5;0,02;15,68;13,11;15,74;15,4;13,16;11,71;84,42;80,03;82,26
